complaint_id,date_received,province,district,operator,service_type,complaint_category,channel,description,customer_age,customer_gender,status,resolution_days,satisfaction_score
RURA-ICT-00433,29/02/2024,Northern Province,Rulindo,BSC,Mobile Money,Billing Dispute,Web Portal,,27,Male,resolved,15,5
RURA-ICT-00624,15/03/2024,Northern Province,Gakenke,Airtel,Mobile Money,Poor Network Quality,Email,Billed for services not subscribed to.,29,Male,Closed,27,2
RURA-ICT-00677,2023-01-24,Northern Province,Rulindo,liquid telecom,Mobile Voice,Mobile Money Fraud/Scam,Call Center,Billed for services not subscribed to.,31,F,OPEN,,
RURA-ICT-00848,10-Feb-2024,Southern Province,Gisagara,,Mobile Voice,Billing Dispute,Call Center,Internet speed far below advertised package.,83,M,resolved,16,5
RURA-ICT-00234,04-22-2024,Kigali City,GASABO,Liquid Telecom,Fixed Internet,SIM Registration Issue,Social Media,Mobile money transfer deducted but recipient did not receive funds.,66,F,closed,999,5
RURA-ICT-00479,05-26-2024,Northern Province,Musanze District,Broadband Systems Corporation,Mobile Money,Poor Network Quality,Email,No network coverage since yesterday evening.,71,male,Open,,3
RURA-ICT-00030,06-11-2024,Eastern Province,Kirehe,AIRTEL,Fixed Voice,Billing Dispute,Web Portal,Received suspicious SMS asking for mobile money PIN.,0,male,open,,
RURA-ICT-00150,09-03-2023,Northern Province,Burera,MTN RWANDA,Mobile Data/Internet,Slow Internet Speed,Web Portal,Internet speed far below advertised package.,64,Other,Closed,11,6
RURA-ICT-00263,2024-03-08,Southern Province,Ruhango,,Fixed Voice,Data Bundle Deduction Issue,Web Portal,Received suspicious SMS asking for mobile money PIN.,19,,pending ,,
RURA-ICT-00442,2024-03-11,Northern Province,Burera,Airtel,Mobile Money,Billing Dispute,Walk-in,Complainant charged twice for the same data bundle.,,Other,OPEN,,1
RURA-ICT-00535,29/04/2024,Eastern Province,Bugesera,M.T.N Rwanda,Fixed Voice,SIM Registration Issue,Email,Complainant charged twice for the same data bundle.,22,female,Closed,7,5
RURA-ICT-00247,15-Jul-2024,Northern Province,Gicumbi,REG-ICT,Mobile Money,Data Bundle Deduction Issue,Email,Customer reports repeated call drops in Gicumbi.,77,female,OPEN,,
RURA-ICT-00140,11-19-2024,Kigali City,Kicukiro,AIRTEL,Fixed Internet,Slow Internet Speed,Call Center,Customer care line not answering after multiple attempts.,66,male,pending ,,2
RURA-ICT-00105,29-Jun-2023,Western Province,Ngororero,Liquid Telecom Rwanda,Mobile Voice,SIM Registration Issue,USSD,Billed for services not subscribed to.,77,Male,Resolved,2,4
RURA-ICT-00717,10-24-2023,Northern Province,Burera,Airtel,SMS,Customer Care Unresponsive,Walk-in,Customer care line not answering after multiple attempts.,79,female,Pending,,4
RURA-ICT-00483,2024-01-18,Northern Province,Rulindo,mtn rwanda,Mobile Voice,Mobile Money Fraud/Scam,Web Portal,Internet speed far below advertised package.,35,M,open,,
RURA-ICT-00590,2024-02-14,Southern Province,Huye,mtn rwanda,Fixed Voice,Unsolicited SMS/Spam,Walk-in,Customer care line not answering after multiple attempts.,76,F,In Progress,9,2
RURA-ICT-00178,2024-06-07,Northern Province,Gakenke,Liquid Telecom Rwanda,Fixed Internet,Slow Internet Speed,Web Portal,Received unsolicited promotional SMS despite opt-out request.,50,female,Pending,,1
RURA-ICT-00611,2023-04-18,Southern Province,Muhanga,airtel rwanda,Mobile Voice,Poor Network Quality,Social Media,Internet speed far below advertised package.,55,Other,Closed,11,3
RURA-ICT-00775,03/08/2024,Western Province,Rusizi,MTN,Fixed Internet,Slow Internet Speed,Social Media,,,Other,pending ,,
RURA-ICT-00784,2023-03-21,Northern Province,Musanze,REG-ICT,Mobile Data/Internet,Billing Dispute,Social Media,SIM card registered under wrong national ID.,72,,Open,,3
RURA-ICT-00896,02/07/2024,Western Province,Nyamasheke,MTN,Mobile Data/Internet,Service Activation Delay,USSD,No network coverage since yesterday evening.,28,Male,Pending,,5
RURA-ICT-00889,28-Aug-2024,Northern Province,Rulindo,liquid telecom,Mobile Voice,Unsolicited SMS/Spam,USSD,Customer care line not answering after multiple attempts.,,Male,Pending,,
RURA-ICT-00725,09-Jul-2023,Northern Province,Musanze,mtn rwanda,Fixed Internet,Slow Internet Speed,USSD,SIM card registered under wrong national ID.,42,Other,open,,3
RURA-ICT-00273,2023-11-20,Kigali City,Nyarugenge,airtel rwanda,Fixed Internet,Data Bundle Deduction Issue,Social Media,Internet speed far below advertised package.,31,M,resolved,19,
RURA-ICT-00236,23-Sep-2023,Western Province,Karongi,liquid telecom,Mobile Data/Internet,Network Outage,Web Portal,Received suspicious SMS asking for mobile money PIN.,20,Female,Pending,,2
RURA-ICT-00291,11/03/2024,Western Province,Karongi,AIRTEL,Fixed Internet,SIM Registration Issue,USSD,Complainant charged twice for the same data bundle.,45,F,In Progress,28,3
RURA-ICT-00635,2023-09-20,Southern Province,Nyamagabe,MTN Rwanda,Mobile Money,Mobile Money Transaction Failure,Web Portal,No network coverage since yesterday evening.,29,,closed,8,5
RURA-ICT-00782,02-17-2024,Southern Province,Gisagara,broadband systems,Fixed Voice,Mobile Money Fraud/Scam,Email,,41,F,In Progress,3,3
RURA-ICT-00827,05-30-2023,Southern Province,Nyaruguru,,Fixed Voice,Unsolicited SMS/Spam,Social Media,Complainant charged twice for the same data bundle.,30,Male,open,,3
RURA-ICT-00106,12-Feb-2024,Kigali City,Kicukiro,Airtel Rwanda,Mobile Data/Internet,Network Outage,Email,Received unsolicited promotional SMS despite opt-out request.,40,male,closed,24,
RURA-ICT-00195,13/01/2023,Eastern Province,Rwamagana,broadband systems,SMS,Network Outage,Email,Complainant charged twice for the same data bundle.,36,Other,OPEN,,5
RURA-ICT-00540,30/05/2023,Kigali City,Gasabo ,,Mobile Money,Mobile Money Fraud/Scam,USSD,,59,male,pending ,,1
RURA-ICT-00778,24-May-2023,Eastern Province,Bugesera,MTN Rwanda,Fixed Internet,Unsolicited SMS/Spam,Walk-in,Customer care line not answering after multiple attempts.,53,F,pending ,,3
RURA-ICT-00667,2024-04-05,Southern Province,Nyanza,BSC,SMS,Network Outage,Social Media,Billed for services not subscribed to.,,Female,OPEN,,5
RURA-ICT-00536,01-22-2024,Western Province,Karongi,MTN RWANDA,SMS,Poor Network Quality,Call Center,Customer reports repeated call drops in Karongi.,24,Male,Open,,
RURA-ICT-00061,16/01/2023,Eastern Province,Rwamagana,airtel rwanda,Mobile Voice,Unsolicited SMS/Spam,Call Center,Customer care line not answering after multiple attempts.,35,F,pending ,,3
RURA-ICT-00281,2024-04-20,Southern Province,Ruhango,airtel rwanda,Fixed Internet,Mobile Money Transaction Failure,USSD,No network coverage since yesterday evening.,80,M,closed,27,5
RURA-ICT-00567,2024-03-28,Eastern Province,Ngoma,Airtel,Fixed Voice,Network Outage,Web Portal,Mobile money transfer deducted but recipient did not receive funds.,82,F,pending ,,3
RURA-ICT-00027,30/01/2024,Kigali City,Gasabo,liquid telecom,Mobile Money,Data Bundle Deduction Issue,USSD,Complainant charged twice for the same data bundle.,71,M,pending ,,5
RURA-ICT-00615,2024-05-24,Eastern Province,Bugesera,MTN RWANDA,Fixed Voice,Customer Care Unresponsive,Web Portal,Customer care line not answering after multiple attempts.,40,M,OPEN,,5
RURA-ICT-00036,08-13-2023,Eastern Province,Bugesera,broadband systems,Fixed Voice,Customer Care Unresponsive,USSD,Customer care line not answering after multiple attempts.,19,,Closed,21,2
RURA-ICT-00833,03/05/2023,Kigali City,Kicukiro,airtel rwanda,Mobile Data/Internet,Mobile Money Transaction Failure,Walk-in,Delay of over a week in activating new fixed internet line.,74,M,closed,27,5
RURA-ICT-00594,01-02-2023,Southern Province,Kamonyi,M.T.N Rwanda,Mobile Money,Billing Dispute,Email,Delay of over a week in activating new fixed internet line.,,Female,resolved,13,6
RURA-ICT-00740,11-29-2024,Southern Province,Muhanga,BSC,Fixed Voice,Mobile Money Transaction Failure,Walk-in,Received suspicious SMS asking for mobile money PIN.,0,male,Open,,4
RURA-ICT-00399,02-Jul-2023,Kigali City,Kicukiro,MTN RWANDA,Fixed Internet,SIM Registration Issue,Call Center,Received suspicious SMS asking for mobile money PIN.,,Female,closed,5,1
RURA-ICT-00876,18-Mar-2024,Kigali City,Gasabo,,Mobile Money,Mobile Money Transaction Failure,Web Portal,,,F,Pending,,3
RURA-ICT-00602,2023-05-03,Eastern Province,Bugesera,BSC,Fixed Voice,Service Activation Delay,Social Media,Customer reports repeated call drops in Bugesera.,210,Female,Resolved,999,
RURA-ICT-00637,2023-10-16,Northern Province,Rulindo,Airtel,Mobile Data/Internet,Slow Internet Speed,Social Media,Billed for services not subscribed to.,38,,OPEN,,2
RURA-ICT-00146,26-Nov-2024,Northern Province,Rulindo,Liquid Telecom,Mobile Voice,Customer Care Unresponsive,USSD,Billed for services not subscribed to.,22,female,OPEN,,4
RURA-ICT-00656,28/11/2024,Southern Province,Muhanga,AIRTEL,Mobile Voice,Service Activation Delay,Call Center,Mobile money transfer deducted but recipient did not receive funds.,36,female,Closed,4,3
RURA-ICT-00446,2023-11-18,Northern Province,Gicumbi,BSC,Mobile Data/Internet,Customer Care Unresponsive,Walk-in,Complainant charged twice for the same data bundle.,82,Male,resolved,11,5
RURA-ICT-00176,02-24-2023,Western Province,Rusizi,BSC,Mobile Data/Internet,Billing Dispute,Email,Delay of over a week in activating new fixed internet line.,78,Male,Pending,,
RURA-ICT-00636,09/02/2024,Western Province,Rusizi,Broadband Systems Corporation,Mobile Money,Mobile Money Fraud/Scam,Walk-in,Billed for services not subscribed to.,71,female,In Progress,15,
RURA-ICT-00286,2023-12-05,Northern Province,Gicumbi,,Mobile Voice,Service Activation Delay,Walk-in,,77,Other,resolved,5,4
RURA-ICT-00408,2023-09-07,Southern Province,Muhanga,Broadband Systems Corporation,Fixed Voice,SIM Registration Issue,USSD,Customer care line not answering after multiple attempts.,64,Male,OPEN,,
